name,demonym,fra_m,fra_f
Norway,Norwegian,Norvégien,Norvégienne
Nepal,Nepalese,Népalais,Népalaise
Nauru,Nauruan,Nauruan,Nauruane
New Zealand,New Zealander,Neo-Zélandais,Neo-Zélandaise
Oman,Omani,Omanais,Omanaise
Pakistan,Pakistani,Pakistanais,Pakistanaise
Panama,Panamanian,Panaméen,Panaméenne
Peru,Peruvian,Péruvien,Péruvienne
Philippines,Filipino,Philippin,Philippine
Palau,Palauan,Paluan,Paluane
Papua New Guinea,Papua New Guinean,Papouasien,Papouasienne
Poland,Polish,Polonais,Polonaise
North Korea,North Korean,Nord-coréen,Nord-coréenne
Portugal,Portuguese,Portugais,Portugaise
Paraguay,Paraguayan,Paraguayen,Paraguayenne
Qatar,Qatari,Qatarien,Qatarienne
Romania,Romanian,Roumain,Roumaine
Russia,Russian,Russe,Russe
Rwanda,Rwandan,Rwandais,Rwandaise
Saudi Arabia,Saudi Arabian,Saoudien,Saoudienne
Sudan,Sudanese,Soudanais,Soudanaise
Senegal,Senegalese,Sénégalais,Sénégalaise
Singapore,Singaporean,Singapourien,Singapourienne
Solomon Islands,Solomon Islander,Salomonien,Salomonienne
Sierra Leone,Sierra Leonean,Sierra-leonais,Sierra-leonaise
El Salvador,Salvadoran,Salvadorien,Salvadorienne
San Marino,Sammarinese,Saint-Marinais,Saint-Marinaise
Somalia,Somali,Somalien,Somalienne
Serbia,Serbian,Serbe,Serbe
South Sudan,South Sudanese,Sud-Soudanais,Sud-Soudanaise
São Tomé and Príncipe,Sao Tomean,Santoméen,Santoméenne
Suriname,Surinamer,Surinamais,Surinamaise
Slovakia,Slovak,Slovaque,Slovaque
Slovenia,Slovene,Slovène,Slovène
Sweden,Swedish,Suédois,Suédoise
Eswatini,Swazi,Swazie,Swazie
Seychelles,Seychellois,Seychellois,Seychelloise
Syria,Syrian,Syrien,Syrienne
Chad,Chadian,Tchadien,Tchadienne
Togo,Togolese,Togolais,Togolaise
Thailand,Thai,Thaïlandais,Thaïlandaise
Tajikistan,Tadzhik,Tadjike,Tadjike
Turkmenistan,Turkmen,Turkmène,Turkmène
Timor-Leste,East Timorese,Est-timorais,Est-timoraise
Tonga,Tongan,Tonguien,Tonguienne
Trinidad and Tobago,Trinidadian,Trinidadien,Trinidadienne
Tunisia,Tunisian,Tunisien,Tunisienne
Türkiye,Turkish,Turc,Turque
Tuvalu,Tuvaluan,Tuvaluan,Tuvaluane
Tanzania,Tanzanian,Tanzanien,Tanzanienne
Uganda,Ugandan,Ougandais,Ougandaise
Ukraine,Ukrainian,Ukrainien,Ukrainienne
Uruguay,Uruguayan,Uruguayen,Uruguayenne
United States,American,Américain,Américaine
Uzbekistan,Uzbekistani,Ouzbèke,Ouzbèke
Saint Vincent and the Grenadines,Saint Vincentian,Vincentais,Vincentaise
Venezuela,Venezuelan,Vénézuélien,Vénézuélienne
Vietnam,Vietnamese,Vietnamien,Vietnamienne
Vanuatu,Ni-Vanuatu,Vanuatuan,Vanuatuane
Samoa,Samoan,Samoan,Samoane
Yemen,Yemeni,Yéménite,Yéménite
South Africa,South African,Sud-africain,Sud-africaine
Zambia,Zambian,Zambien,Zambienne
Zimbabwe,Zimbabwean,Zimbabwéen,Zimbabwéenne
