Country in English,Country in Spanish,Demonym*/Adjective,spa_m,spa_n
Montenegro,Montenegro,montenegrino/-na,montenegrino,
Morocco,Marruecos,marroquí,,marroquí
Mozambique,Mozambique,mozambiqueño/-ña,mozambiqueño,
Naminia,Namibia,namibio/-bia,namibio,
Nauru,Nauru,nauruano/-na,nauruano,
Nepal,Nepal,nepalés/-sa,nepalés,
Netherlands,Países Bajos,neerlandés/-sa,neerlandés,
New Zealand,Nueva Zelanda,neozelandés/-sa,neozelandés,
Nicaragua,Nicaragua,nicaragüense,,nicaragüense
Niger,Níger,nigerino/-na,nigerino,
Nigeria,Nigeria,nigeriano/-na,nigeriano,
North Korea,Corea del Norte,de la República Popular Democrática de Corea,,de la República Popular Democrática de Corea
North Macedonia,Macedonia del Norte,macedonio/-nia ciudadano/-a de la República de Macedonia del Norte,macedonio,
Northern Ireland,Irlanda del Norte,norirlandés/-sa,norirlandés,
Norway,Noruega,noruego/-ga,noruego,
Oman,Omán,omaní,,omaní
Pakistand,Pakistán,pakistaní,,pakistaní
Palau,Palaos,palauano/-na,palauano,
Palestine (State of),Palestina (Estado de),palestino/-na,palestino,
Panama,Panamá,panameño/-ña,panameño,
Papua New Guinea,Papúa Nueva Guinea,papú,,papú
Paraguay,Paraguay,paraguayo/-ya,paraguayo,
Peru,Perú,peruano/-na,peruano,
Philippines,Filipinas,filipino/-na,filipino,
Poland,Polonia,polaco/-ca,polaco,
Portugal,Portugal,portugués/-sa,portugués,
Puerto Rico,Puerto Rico,puertorriqueño/-ña,puertorriqueño,
Romania,Rumanía,rumano/-na,rumano,
Russian Federation,Rusia,ruso/-sa,ruso,
Rwanda,Ruanda,ruandés/-sa,ruandés,
Saint Kitts and Nevis,San Cristóbal y Nieves,sancristobaleño/-ña,sancristobaleño,
Saint Lucia,Santa Lucía,santalucense,,santalucense
Saint Vincent and the Grenadines,San Vicente y las Granadinas,sanvicentino/-na,sanvicentino,
Samoa,Samoa,samoano/-na,samoano,
San Marino,San Marino,sanmarinense,,sanmarinense
Saudi Arabia,Arabia Saudí,saudí,,saudí
Scotland,Escocia,escocés/-sa,escocés,
Senegal,Senegal,senegalés/-sa,senegalés,
Serbia,Serbia,serbio/-bia,serbio,
Seychelles,Seychelles,seychellense,,seychellense
Sierra Leone,Sierra Leona,sierraleonés/-sa,sierraleonés,
Singapore,Singapur,singapurense,,singapurense
Slovakia,Eslovaquia,eslovaco/-ca,eslovaco,
Slovenia,Eslovenia,esloveno/-na,esloveno,
Solomon Islands,Islas Salomón,salomonense,,salomonense
Somalia,Somalia,somalí,,somalí
South Africa,Sudáfrica,sudafricano/-na,sudafricano,
South Korea,Corea del Sur,de la República de Corea,,de la República de Corea
South Sudan,Sudán del Sur,sursudanés,,sursudanés
Spain,España,español/-la,español,
Sri Lanka,Sri Lanka,esrilanqués/-sa,esrilanqués,
Sudan,Sudán,sudanés,,sudanés
